,id,date,price,bedrooms,bathrooms,sqft_living,sqft_lot,floors,waterfront,view,condition,grade,sqft_above,sqft_basement,yr_built,yr_renovated,zipcode,lat,long,sqft_living15,sqft_lot15
1408,6678900140,3/19/2015,685000.0,3,1.75,2210,8955,1.0,0.0,1.0,3,8,1560,650.0,1974,0.0,98033,47.6621,-122.189,2210,8976
3526,5393601050,5/9/2014,445000.0,4,2.0,1650,6000,1.0,0.0,0.0,5,7,1000,650.0,1959,,98144,47.5834,-122.307,1540,6000
10002,7375100070,3/18/2015,491000.0,3,1.75,1440,7800,1.0,0.0,0.0,4,7,1440,0.0,1958,0.0,98008,47.5996,-122.12,1440,7800
19615,3157600075,2/7/2015,380000.0,3,2.0,1440,3218,1.0,0.0,0.0,3,7,850,590.0,2008,0.0,98106,47.5655,-122.36,1170,5000
883,7871500070,6/3/2014,930000.0,4,2.5,2200,4000,2.0,0.0,0.0,5,8,1430,770.0,1908,0.0,98119,47.6402,-122.37,2100,4000
16437,3438500114,5/12/2015,377000.0,4,2.0,1640,5014,1.0,0.0,0.0,4,7,930,710.0,1982,,98106,47.5545,-122.35600000000001,1600,5452
15531,2380000190,7/1/2014,375000.0,3,1.75,2530,35150,1.0,0.0,0.0,4,7,1800,730.0,1977,0.0,98042,47.3913,-122.12100000000001,2460,36386
5708,1545806980,6/30/2014,263000.0,3,1.75,1410,8100,2.0,,0.0,3,7,1410,0.0,1985,0.0,98038,47.3617,-122.046,1560,8100
11473,207500012,5/5/2014,855000.0,4,2.75,2600,5390,1.0,,0.0,4,8,1300,1300.0,1960,,98199,47.6382,-122.397,2550,5600
13130,8567450180,5/29/2014,525000.0,5,2.5,2630,9216,2.0,0.0,0.0,3,8,2630,0.0,2003,0.0,98019,47.7379,-121.96600000000001,2020,4980
9363,6386700110,8/5/2014,245000.0,3,2.0,1850,8208,1.0,0.0,0.0,4,7,1180,670.0,1970,0.0,98023,47.3109,-122.36200000000001,1790,8174
459,1796360350,1/28/2015,255000.0,3,1.75,1240,8659,1.0,0.0,0.0,5,7,1240,0.0,1986,0.0,98042,47.3663,-122.089,1490,8223
17712,1422059039,8/28/2014,455000.0,4,2.75,3030,117378,1.0,0.0,0.0,4,8,1680,1350.0,1959,0.0,98042,47.401,-122.135,2060,110957
8747,8682262170,5/30/2014,415000.0,2,1.75,1340,4664,1.0,0.0,0.0,3,8,1340,0.0,2004,0.0,98053,47.7182,-122.03399999999999,1350,4236
7888,5470100220,9/9/2014,222000.0,3,1.5,1310,9273,1.0,0.0,0.0,4,7,1310,0.0,1968,0.0,98042,47.3683,-122.147,1710,9600
5800,7202260780,1/20/2015,535000.0,3,2.5,2510,5544,2.0,0.0,0.0,3,7,2510,0.0,2001,0.0,98053,47.6903,-122.042,2660,5614
14719,3438501020,11/5/2014,308500.0,2,2.0,840,14564,1.5,0.0,0.0,5,6,840,0.0,1942,0.0,98106,47.5499,-122.36,1430,7920
1311,2473251180,12/17/2014,255000.0,3,1.0,1180,13650,1.0,0.0,0.0,4,7,1180,0.0,1967,,98058,47.4551,-122.154,1460,11730
16814,5739601300,3/30/2015,605000.0,2,1.0,860,6510,1.0,0.0,0.0,3,7,860,0.0,1952,0.0,98004,47.6021,-122.20200000000001,1740,10800
4863,5561300480,4/8/2015,600000.0,7,2.25,3170,36384,2.0,0.0,0.0,3,8,3170,0.0,1969,0.0,98027,47.4654,-122.00299999999999,2460,38370
3284,9238900855,3/13/2015,700000.0,2,1.0,930,5000,1.0,0.0,3.0,3,7,930,0.0,1926,2013.0,98136,47.5333,-122.38799999999999,1760,5228
16499,2581900284,7/7/2014,821000.0,3,2.75,2760,8476,1.0,,0.0,4,8,1690,1070.0,1967,0.0,98040,47.5402,-122.215,2610,9835
18209,3307700405,7/23/2014,587100.0,2,1.0,1190,6967,1.0,,0.0,3,7,1190,0.0,1946,0.0,98040,47.5896,-122.243,1700,6968
8387,8691390530,6/25/2014,700000.0,4,2.5,2770,5686,2.0,0.0,0.0,3,9,2770,0.0,2004,0.0,98075,47.5997,-121.973,2910,5000
2937,4310702787,7/17/2014,335000.0,3,3.0,1430,1249,3.0,,0.0,3,8,1430,0.0,2003,0.0,98103,47.6971,-122.34,1020,1112
12559,3343300065,9/2/2014,515000.0,4,2.5,2280,14810,1.0,0.0,0.0,5,8,1500,780.0,1977,0.0,98056,47.5392,-122.186,2690,12196
9534,2122059199,10/2/2014,490000.0,4,4.25,4480,5715,2.0,0.0,0.0,3,7,3680,800.0,2003,0.0,98030,47.37300000000001,-122.179,2190,6070
17924,1235100371,7/17/2014,580000.0,5,2.75,3550,9600,2.0,0.0,0.0,3,7,3550,0.0,1960,0.0,98033,47.6766,-122.186,3370,9600
625,7812800565,8/14/2014,289500.0,3,1.0,960,6400,1.0,0.0,0.0,4,6,820,140.0,1944,0.0,98178,47.496,-122.23899999999999,1200,6600
2799,5561200310,6/9/2014,525000.0,3,3.0,2470,36445,2.0,0.0,0.0,4,8,2470,0.0,1980,0.0,98027,47.4661,-121.99700000000001,2310,35350
